external_gene_name	hgnc_symbol	chromosome_name	start_position	end_position	ensembl_gene_id	Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	comp	probe_id	reg
MALAT1	MALAT1	MALAT1	11	65497688	65506516	ENSG00000251562	223940_x_at	-0.777633853479855	10.6065856470588	-2.52755969186972	0.0162645730747927	0.999964399368847	-3.46102499394464	Rem_Rel	223940_x_at	up
NUDC	NUDC	NUDC	1	26900238	26946871	ENSG00000090273	210575_at	0.123805355311355	3.04800329411765	2.19124774652585	0.0353327419177555	0.999964399368847	-3.79888080960322	Rem_Rel	210575_at	down
RAPH1	RAPH1	RAPH1	2	203394345	203535335	ENSG00000173166	225186_at	-0.148347560439561	3.20363358823529	-2.0390782174068	0.0492200773097317	0.999964399368847	-3.94192166685826	Rem_Rel	225186_at	up
SLC39A7	SLC39A7	SLC39A7	CHR_HSCHR6_MHC_DBB_CTG1	33178351	33182345	ENSG00000229802	202667_s_at	0.250455051282051	5.99647255882353	2.27162838402905	0.0295073798948372	0.999964399368847	-3.72070721562632	Rem_Rel	202667_s_at	down
WASF1	WASF1	WASF1	6	110099819	110180004	ENSG00000112290	204165_at	0.753258684981684	5.98718991176471	2.11147086475593	0.0421060958373398	0.999964399368847	-3.87470762845432	Rem_Rel	204165_at	down
ADAT1	ADAT1	ADAT1	16	75596868	75623300	ENSG00000065457	219384_s_at	0.56528680952381	5.00828051851852	2.20474692310699	0.0361083533236432	0.449905738729575	-3.85327507877796	Rem_indfail	219384_s_at	down
AKAP1	AKAP1	AKAP1	17	57085092	57121346	ENSG00000121057	210625_s_at	0.642516142857142	5.18763777777778	2.72987839226407	0.01097743721384	0.271220076288786	-2.83266744023614	Rem_indfail	210625_s_at	down
ARHGEF10	ARHGEF10	ARHGEF10	CHR_HSCHR8_8_CTG1	1823976	1958641	ENSG00000274726	1554703_at	-0.487823404761904	3.30522996296296	-2.92281022734198	0.00690637187402272	0.220822153340463	-2.42732216865784	Rem_indfail	1554703_at	up
ARPC4	ARPC4	ARPC4	3	9792495	9807101	ENSG00000241553	217817_at	0.294768261904761	8.9476387037037	2.16717368377618	0.0391411222271444	0.465067663901725	-3.92091556986477	Rem_indfail	217817_at	down
ASXL1	ASXL1	ASXL1	20	32358330	32439319	ENSG00000171456	212238_at	-0.588950523809524	6.98501637037037	-2.66041736795261	0.0129302313628573	0.289266999517075	-2.97498990601053	Rem_indfail	212238_at	up
ATM	ATM	ATM	11	108223044	108369102	ENSG00000149311	212672_at	0.913697523809524	5.74711996296296	3.50750758429521	0.00159035335616027	0.11544967599824	-1.125381256491	Rem_indfail	212672_at	down
C22orf34	C22orf34	C22orf34	22	49414524	49657542	ENSG00000188511	235839_at	-0.361916547619048	5.32953551851852	-2.49459258094597	0.0189758553311264	0.345372891562113	-3.30625990552792	Rem_indfail	235839_at	up
C6orf89	C6orf89	C6orf89	6	36871870	36928964	ENSG00000198663	224988_at	0.494538999999999	5.73692011111111	2.06365177563676	0.0487100591285832	0.503231312601513	-4.10309462339759	Rem_indfail	224988_at	down
CAMTA1	CAMTA1	CAMTA1	1	6785454	7769706	ENSG00000171735	227328_at	-0.997366071428572	6.51880966666667	-3.49530955797864	0.00164115094074041	0.116683911163826	-1.15345286216368	Rem_indfail	227328_at	up
CAND1	CAND1	CAND1	12	67269358	67319953	ENSG00000111530	243910_x_at	0.519709547619048	5.8842737037037	3.01053371602083	0.00557253803702702	0.199780168440676	-2.23851950607002	Rem_indfail	243910_x_at	down
CCNT1	CCNT1	CCNT1	12	48688458	48716998	ENSG00000129315	225493_at	-0.78892661904762	8.11714207407407	-2.19147095650598	0.0371549206117325	0.455785101251042	-3.87726530429015	Rem_indfail	225493_at	up
CCT8	CCT8	CCT8	21	29055805	29073797	ENSG00000156261	200873_s_at	0.453466380952382	10.6129470740741	2.68319615730356	0.0122566303933447	0.284028238615412	-2.92853955645152	Rem_indfail	200873_s_at	down
CD55	CD55	CD55	1	207321532	207386804	ENSG00000196352	1555950_a_at	-1.22967345238095	7.35187848148148	-2.64076964438675	0.0135388447056606	0.29479742504261	-3.01487770224917	Rem_indfail	1555950_a_at	up
CDC20	CDC20	CDC20	1	43358981	43363203	ENSG00000117399	202870_s_at	1.85922592857143	6.88781544444444	3.36073945181662	0.00231697965645403	0.135168067957979	-1.4609050353313	Rem_indfail	202870_s_at	down
CHAF1A	CHAF1A	CHAF1A	19	4402640	4445018	ENSG00000167670	203976_s_at	0.660043928571429	6.42798766666667	2.44402463155085	0.0212847969770491	0.361075480831573	-3.40475141873676	Rem_indfail	203976_s_at	down
CIAPIN1	CIAPIN1	CIAPIN1	16	57428187	57447420	ENSG00000005194	208424_s_at	0.724738976190475	6.3930557037037	2.6413934123414	0.0135191188933296	0.29479742504261	-3.01361391323155	Rem_indfail	208424_s_at	down
COQ9	COQ9	COQ9	16	57447425	57461270	ENSG00000088682	212228_s_at	0.723197023809523	6.47428507407407	2.38970913014025	0.0240503902290734	0.381490003143261	-3.50915312305706	Rem_indfail	212228_s_at	down
CREBZF	CREBZF	CREBZF	11	85657742	85682908	ENSG00000137504	202977_s_at	-0.301216928571428	5.02181966666667	-2.42225491056064	0.0223561732543739	0.367957359414656	-3.44677092121234	Rem_indfail	202977_s_at	up
CSF1	CSF1	CSF1	1	109910242	109930992	ENSG00000184371	210557_x_at	-0.429321333333334	4.42063240740741	-2.11140377399364	0.0440640930199516	0.485634515693069	-4.0198349309218	Rem_indfail	210557_x_at	up
CYB5R4	CYB5R4	CYB5R4	6	83859656	83967423	ENSG00000065615	240020_at	-0.544427857142858	3.53366977777778	-2.72594783484277	0.0110801196487084	0.272680828811208	-2.8407743282261	Rem_indfail	240020_at	up
DBR1	DBR1	DBR1	3	138160988	138174921	ENSG00000138231	234295_at	0.901068761904762	5.86448925925926	2.12991629342926	0.0423718772904685	0.478763110366753	-3.987197665201	Rem_indfail	234295_at	down
DDX3X	DDX3X	DDX3X	X	41333348	41364472	ENSG00000215301	207617_at	-0.334058023809524	3.57316992592593	-4.28524104342406	0.000204634154303384	0.0402459438364659	0.714356925904407	Rem_indfail	207617_at	up
DDX46	DDX46	DDX46	5	134758771	134855133	ENSG00000145833	228039_at	0.677107738095237	5.81994618518519	2.12525116609209	0.0427927559572648	0.48126694582354	-3.99544092723731	Rem_indfail	228039_at	down
DFFA	DFFA	DFFA	1	10456522	10472529	ENSG00000160049	223518_at	0.427785261904762	5.70267503703704	2.77035244995957	0.00997076278074491	0.263103984091326	-2.74882522030479	Rem_indfail	223518_at	down
DGUOK	DGUOK	DGUOK	2	73926826	73958961	ENSG00000114956	209549_s_at	0.529442476190475	8.75441925925926	2.27207423730402	0.0311985854292289	0.425488315875053	-3.73011784105125	Rem_indfail	209549_s_at	down
EIF3G	EIF3G	EIF3G	19	10115014	10119918	ENSG00000130811	208887_at	-0.217477857142857	10.5593922222222	-2.0560667351082	0.0494867282960509	0.505379667324384	-4.1161954322146	Rem_indfail	208887_at	up
EIF4A3	EIF4A3	EIF4A3	17	80134369	80147151	ENSG00000141543	201303_at	0.909665547619047	8.90662181481481	3.8977523768112	0.000573887590330512	0.0681099905535324	-0.212540607562313	Rem_indfail	201303_at	down
EMD	EMD	EMD	X	154379273	154381574	ENSG00000102119	209477_at	-0.24090526190476	6.99148574074074	-2.07834337007296	0.0472363869043947	0.49762031868936	-4.07762195858128	Rem_indfail	209477_at	up
ENTPD1-AS1	ENTPD1-AS1	ENTPD1-AS1	10	95732976	96090250	ENSG00000226688	232502_at	-0.215545071428572	2.96068233333333	-3.15839552504256	0.00386189559157179	0.169497954011695	-1.91456648776759	Rem_indfail	232502_at	up
FAM83F	FAM83F	FAM83F	22	39994954	40043534	ENSG00000133477	235269_at	-0.549821880952381	4.45937025925926	-2.21326247047931	0.0354510972325359	0.447156995966341	-3.83783552024054	Rem_indfail	235269_at	up
FGFR1OP2	FGFR1OP2	FGFR1OP2	12	26938470	26966650	ENSG00000111790	223262_s_at	-0.656433976190474	7.06407840740741	-3.10070872998193	0.00445903369315796	0.181206268633628	-2.04176822954277	Rem_indfail	223262_s_at	up
GGA3	GGA3	GGA3	17	75236599	75262363	ENSG00000125447	211815_s_at	-0.331397571428572	4.600722	-2.63880975883295	0.0136009981685079	0.295309957068144	-3.01884744653557	Rem_indfail	211815_s_at	up
GPATCH3	GPATCH3	GPATCH3	1	26890488	26900467	ENSG00000198746	218895_at	-0.585912238095237	6.12752481481481	-4.16167231953575	0.000284744644220161	0.0468188892062494	0.417207720527835	Rem_indfail	218895_at	up
GRB2	GRB2	GRB2	17	75318076	75405709	ENSG00000177885	215075_s_at	-0.507707809523809	7.59784848148148	-2.09320884060088	0.0457856914135672	0.492650197601438	-4.0517177301967	Rem_indfail	215075_s_at	up
GRSF1	GRSF1	GRSF1	4	70815783	70839897	ENSG00000132463	221917_s_at	0.289606571428571	4.75992722222222	2.36582403251807	0.0253676604859183	0.392244580618661	-3.55459670026349	Rem_indfail	221917_s_at	down
GTSF1	GTSF1	GTSF1	12	54455950	54473602	ENSG00000170627	227711_at	-2.12148	4.71324	-2.70656703532476	0.0115997208797135	0.278850898949399	-2.88065514879893	Rem_indfail	227711_at	up
HINT1	HINT1	HINT1	5	131155383	131224468	ENSG00000169567	1555960_at	-1.15720838095238	6.1429597037037	-2.70215387743186	0.0117211857951684	0.280112002092503	-2.88971465656996	Rem_indfail	1555960_at	up
HNRNPH3	HNRNPH3	HNRNPH3	10	68331174	68343193	ENSG00000096746	208990_s_at	0.863569809523811	9.54122574074074	2.73954067261807	0.0107287986188979	0.268711435862685	-2.81271197530927	Rem_indfail	208990_s_at	down
IFT80	IFT80	IFT80	3	160256986	160399880	ENSG00000068885	1558956_s_at	1.07583392857143	5.30070722222222	2.29306373680579	0.029796430547134	0.416441676933679	-3.69122189729209	Rem_indfail	1558956_s_at	down
INO80	INO80	INO80	15	40978880	41116280	ENSG00000128908	229356_x_at	-0.556088642857141	7.64564244444444	-2.41220241043206	0.0228674118038977	0.371773934099943	-3.46609531899541	Rem_indfail	229356_x_at	up
KLC2	KLC2	KLC2	11	66257294	66267860	ENSG00000174996	218906_x_at	0.433351547619048	5.66639137037037	2.46970703572457	0.0200816344990085	0.353042883033212	-3.35488304589494	Rem_indfail	218906_x_at	down
LIN7C	LIN7C	LIN7C	11	27494418	27506769	ENSG00000148943	223350_x_at	-0.407499714285718	7.08363711111111	-2.11362034388601	0.0438583519829757	0.484624306557199	-4.01593764214389	Rem_indfail	223350_x_at	up
LINC00476	LINC00476	LINC00476	9	95759231	95876049	ENSG00000175611	1557788_a_at	0.285399095238095	3.56813407407407	2.47254739385576	0.0199524883004033	0.352730434698506	-3.34934829850474	Rem_indfail	1557788_a_at	down
LRRCC1	LRRCC1	LRRCC1	8	85107215	85146080	ENSG00000133739	231872_at	0.653814357142857	4.28287544444444	2.26882531925235	0.0314208862733299	0.426546278649136	-3.73611740413491	Rem_indfail	231872_at	down
LSM14A	LSM14A	LSM14A	19	34172504	34229288	ENSG00000257103	222099_s_at	-0.258119785714288	7.28132766666667	-2.25887104309381	0.0321109438610447	0.430896744067857	-3.75446395756517	Rem_indfail	222099_s_at	up
LSM3	LSM3	LSM3	3	14178817	14201122	ENSG00000170860	202209_at	0.445239571428571	10.2100181111111	2.26877430930222	0.0314243879359619	0.426546278649136	-3.73621155565251	Rem_indfail	202209_at	down
MAGOHB	MAGOHB	MAGOHB	12	10604193	10613609	ENSG00000111196	218894_s_at	1.14977971428571	5.23963911111111	3.05122573352949	0.00504067745601926	0.189937312134978	-2.15005872517857	Rem_indfail	218894_s_at	down
	MATR3		5	139273752	139331671	ENSG00000280987	242260_at	-0.640289642857143	4.61186077777778	-2.1282096021469	0.0425254210575386	0.479530444390954	-3.99021484118234	Rem_indfail	242260_at	up
MAU2	MAU2	MAU2	19	19320829	19358754	ENSG00000129933	212505_s_at	-0.321459809523811	7.00648037037037	-2.22507226483447	0.0345574133618292	0.442360041997452	-3.81635678339524	Rem_indfail	212505_s_at	up
MRPL37	MRPL37	MRPL37	1	54184041	54225464	ENSG00000116221	222993_at	0.730365333333331	8.62404759259259	3.10892634352879	0.00436887475573864	0.179735310210693	-2.02371005523114	Rem_indfail	222993_at	down
MRPL57	MRPL57	MRPL57	13	21176658	21179084	ENSG00000173141	204387_x_at	0.413950595238096	7.37972540740741	2.10132150258578	0.0450108151767148	0.488636264140529	-4.03752593422258	Rem_indfail	204387_x_at	down
MRPS11	MRPS11	MRPS11	15	88467453	88480776	ENSG00000181991	211595_s_at	0.631491523809525	7.68499107407407	2.56531541859342	0.0161328653728324	0.320651179100832	-3.16649220082857	Rem_indfail	211595_s_at	down
MRPS15	MRPS15	MRPS15	1	36455718	36464384	ENSG00000116898	221437_s_at	0.6409375	7.55511744444444	2.18842878424525	0.037398546649405	0.457081799460408	-3.88274877088228	Rem_indfail	221437_s_at	down
MRPS7	MRPS7	MRPS7	17	75261674	75266376	ENSG00000125445	217932_at	0.571235857142855	7.56861988888889	2.19990852007808	0.0364866620519741	0.452536844828296	-3.86202965499648	Rem_indfail	217932_at	down
NAGA	NAGA	NAGA	22	42058334	42070842	ENSG00000198951	202943_s_at	0.695851119047619	5.5164657037037	3.07355725916086	0.00476973932415969	0.186275355391736	-2.10128363278677	Rem_indfail	202943_s_at	down
NANP	NANP	NANP	20	25612935	25624014	ENSG00000170191	228073_at	0.827201785714286	5.16053133333333	2.27781403608027	0.0308093295583549	0.423844722475829	-3.71950470114693	Rem_indfail	228073_at	down
NAT10	NAT10	NAT10	11	34105617	34147670	ENSG00000135372	217884_at	0.497333023809524	6.85661240740741	2.23563854597368	0.0337751010813616	0.438947861094235	-3.79707462784134	Rem_indfail	217884_at	down
NCAPG	NCAPG	NCAPG	4	17810979	17844865	ENSG00000109805	218662_s_at	1.5469665952381	6.68636807407407	4.04133818648695	0.00039230860143342	0.0549986481624929	0.129123466752934	Rem_indfail	218662_s_at	down
NCAPG2	NCAPG2	NCAPG2	7	158631169	158704804	ENSG00000146918	219588_s_at	1.46370038095238	6.95463596296296	3.45385205341959	0.00182583885404147	0.122612124432066	-1.24861576827866	Rem_indfail	219588_s_at	down
NDUFA11	NDUFA11	NDUFA11	19	5891276	5904006	ENSG00000174886	228690_s_at	0.469378690476191	9.98523114814815	2.66493731592327	0.0127938806191204	0.288737813408664	-2.96579036150586	Rem_indfail	228690_s_at	down
NDUFA7	NDUFA7	NDUFA7	19	8308768	8321375	ENSG00000267855	1557532_at	-0.354212928571428	5.90068122222222	-2.21298054403747	0.0354726836000609	0.447156995966341	-3.83834732491007	Rem_indfail	1557532_at	up
NFYC	NFYC	NFYC	1	40691648	40771603	ENSG00000066136	211797_s_at	0.669949095238096	5.76854618518519	2.06616581743552	0.0484550280658208	0.501472394377958	-4.09874481721822	Rem_indfail	211797_s_at	down
NIF3L1	NIF3L1	NIF3L1	2	200889327	200903938	ENSG00000196290	218133_s_at	0.716101714285715	6.56826666666667	2.38020290778358	0.0245669797566759	0.386320685769931	-3.52727415317863	Rem_indfail	218133_s_at	down
NOP14-AS1	NOP14-AS1	NOP14-AS1	4	2934882	2961738	ENSG00000249673	215141_at	-0.250255714285715	4.226251	-2.24578960391442	0.0330386221239232	0.434750099789531	-3.77849269341875	Rem_indfail	215141_at	up
NUP37	NUP37	NUP37	12	102073103	102120120	ENSG00000075188	218622_at	0.751970642857142	6.84742855555556	2.19879470628177	0.0365742529702314	0.452727480449943	-3.86404313698482	Rem_indfail	218622_at	down
OFD1	OFD1	OFD1	X	13734743	13777955	ENSG00000046651	203569_s_at	-0.466528428571431	7.78363588888889	-2.10682422519948	0.0444918903546561	0.4871125854875	-4.02787786172705	Rem_indfail	203569_s_at	up
OSBPL1A	OSBPL1A	OSBPL1A	18	24162045	24397880	ENSG00000141447	208158_s_at	0.575620595238095	4.37656074074074	2.1377807012737	0.0416707273253344	0.475745879413794	-3.97327285757268	Rem_indfail	208158_s_at	down
PARPBP	PARPBP	PARPBP	12	102120183	102197520	ENSG00000185480	220060_s_at	0.651241523809523	3.95264718518519	2.24526574994815	0.0330762708623662	0.435000210716748	-3.77945300417879	Rem_indfail	220060_s_at	down
POP7	POP7	POP7	7	100706121	100707486	ENSG00000172336	209482_at	0.724081952380952	7.34387718518519	3.29878546991088	0.00271209887515955	0.145978081830288	-1.60097589588202	Rem_indfail	209482_at	down
PPCDC	PPCDC	PPCDC	15	75023586	75117462	ENSG00000138621	219066_at	-0.991162142857143	5.54663744444444	-4.15558952817256	0.000289404010871199	0.0469009974552484	0.402612304686245	Rem_indfail	219066_at	up
PPP1R12A	PPP1R12A	PPP1R12A	12	79773563	79935460	ENSG00000058272	201602_s_at	-0.521117738095237	7.44559903703704	-2.09704669477875	0.0454176543147266	0.490105611479365	-4.04500883541142	Rem_indfail	201602_s_at	up
PRDX1	PRDX1	PRDX1	1	45510914	45542732	ENSG00000117450	208680_at	0.753654095238096	10.0740747407407	2.481351750901	0.0195570156602693	0.349381805989126	-3.33216751441743	Rem_indfail	208680_at	down
RASSF1	RASSF1	RASSF1	3	50329782	50340980	ENSG00000068028	204346_s_at	-1.31910680952381	7.82479537037037	-4.9177112777236	3.72919926809353e-05	0.0205953505033347	2.24548315242658	Rem_indfail	204346_s_at	up
RC3H2	RC3H2	RC3H2	9	122844556	122905359	ENSG00000056586	231716_at	-0.767791571428571	7.57506311111111	-3.01763250806687	0.00547605835156442	0.198250526598619	-2.2231266313743	Rem_indfail	231716_at	up
RESF1	RESF1	RESF1	12	31959370	31993107	ENSG00000174718	218614_at	0.985232214285715	6.87132388888889	3.57570658789537	0.001333287529932	0.10503961916287	-0.96785577878567	Rem_indfail	218614_at	down
RFC5	RFC5	RFC5	12	118013588	118033130	ENSG00000111445	203210_s_at	1.36273076190476	5.96800837037037	3.27659484832015	0.00286883708860885	0.149669530362299	-1.650904335619	Rem_indfail	203210_s_at	down
RPL12	RPL12	RPL12	9	127447674	127451406	ENSG00000197958	200809_x_at	-0.217618333333338	13.394162962963	-2.15626640330627	0.0400633095257175	0.467415509289303	-3.94040205969465	Rem_indfail	200809_x_at	up
RPS19	RPS19	RPS19	19	41860255	41872925	ENSG00000105372	242451_x_at	-0.3385555	5.68005322222222	-2.80903341315978	0.00909032358702724	0.253049870369585	-2.66808995506497	Rem_indfail	242451_x_at	up
RPS28	RPS28	RPS28	19	8321158	8323340	ENSG00000233927	208904_s_at	-0.17462142857143	13.2703933333333	-2.05820472926159	0.0492667062821131	0.504590220530646	-4.11250618943313	Rem_indfail	208904_s_at	up
RPS6	RPS6	RPS6	9	19375715	19380236	ENSG00000137154	211690_at	-0.227735785714286	3.60608333333333	-2.16093864111203	0.0396659254154342	0.466394510126638	-3.93206311252864	Rem_indfail	211690_at	up
RPS9	RPS9	RPS9	CHR_HSCHR19LRC_COX1_CTG3_1	54201241	54249371	ENSG00000274646	214317_x_at	-0.219933333333333	12.2235074074074	-2.14870504263732	0.0407139754306824	0.470919527538092	-3.95387111036339	Rem_indfail	214317_x_at	up
SEC22C	SEC22C	SEC22C	3	42547969	42601080	ENSG00000093183	235120_at	0.26623230952381	5.17116974074074	2.19594384728851	0.0367993080359046	0.454041398821235	-3.86919358766601	Rem_indfail	235120_at	down
SF1	SF1	SF1	11	64764606	64778786	ENSG00000168066	1555749_at	-0.193443119047619	3.04447940740741	-2.10706115909029	0.0444696668264893	0.4870550948995	-4.02746204169481	Rem_indfail	1555749_at	up
SIRT5	SIRT5	SIRT5	6	13574227	13615158	ENSG00000124523	219185_at	0.778777928571428	5.08048766666667	2.55209375846114	0.0166323798419564	0.324034205923357	-3.19279703269582	Rem_indfail	219185_at	down
SLC15A4	SLC15A4	SLC15A4	12	128793194	128823958	ENSG00000139370	225057_at	-1.47516709523809	6.52527181481481	-3.43582066288442	0.00191231397771156	0.124724739206621	-1.28988498355359	Rem_indfail	225057_at	up
SLC25A11	SLC25A11	SLC25A11	17	4937130	4940053	ENSG00000108528	209003_at	0.904737333333333	6.42193359259259	2.75518463237999	0.0103374070981015	0.266517825425124	-2.78032251774048	Rem_indfail	209003_at	down
SLC25A4	SLC25A4	SLC25A4	4	185143266	185150382	ENSG00000151729	214821_at	-0.176610428571429	3.00061733333333	-2.24656233595855	0.0329831574957151	0.434750099789531	-3.77707587558504	Rem_indfail	214821_at	up
SLC38A2	SLC38A2	SLC38A2	12	46358188	46372773	ENSG00000134294	222982_x_at	-0.627530833333335	10.408798962963	-2.05864286124204	0.0492217250165329	0.504590220530646	-4.11174982771281	Rem_indfail	222982_x_at	up
SMC4	SMC4	SMC4	3	160399274	160434954	ENSG00000113810	201664_at	2.17363345238095	8.46764262962963	5.57744822402293	6.32307952376942e-06	0.00771953073814014	3.83527224050498	Rem_indfail	201664_at	down
SMIM10L1	SMIM10L1	SMIM10L1	CHR_HSCHR12_3_CTG2	11167456	11172249	ENSG00000281930	237386_at	0.256188023809523	4.59154685185185	2.39754690299945	0.0236319655559517	0.377712499395453	-3.49417835867466	Rem_indfail	237386_at	down
SPAG16	SPAG16	SPAG16	2	213284379	214410501	ENSG00000144451	219109_at	0.774583047619048	4.75103214814815	2.40187367295118	0.0234038439814756	0.376418204243061	-3.48589849890224	Rem_indfail	219109_at	down
SPDL1	SPDL1	SPDL1	5	169583636	169604778	ENSG00000040275	221685_s_at	0.880779809523809	4.8843252962963	2.8421479656754	0.00839529225590614	0.243097398018858	-2.59851325593556	Rem_indfail	221685_s_at	down
SREK1	SREK1	SREK1	5	66139971	66183615	ENSG00000153914	242184_s_at	-0.288613642857143	4.06596922222222	-2.35606497846601	0.0259245907036217	0.396282072608841	-3.57308076263997	Rem_indfail	242184_s_at	up
SRSF10	SRSF10	SRSF10	1	23964347	23980927	ENSG00000188529	225348_at	1.05563821428572	4.50022211111111	2.28928422925213	0.0300446132671378	0.418839681382142	-3.69824308355436	Rem_indfail	225348_at	down
SUPT16H	SUPT16H	SUPT16H	14	21351476	21384019	ENSG00000092201	217815_at	0.581496476190476	8.01401537037037	2.27115461259159	0.0312613639810785	0.425707366292768	-3.73181662640623	Rem_indfail	217815_at	down
SUV39H1	SUV39H1	SUV39H1	X	48695554	48709016	ENSG00000101945	218619_s_at	0.414325690476191	6.34594681481481	2.11228969018212	0.0439817597219485	0.485406280338622	-4.01827761013975	Rem_indfail	218619_s_at	down
TADA3	TADA3	TADA3	3	9779967	9793011	ENSG00000171148	215273_s_at	0.514799452380952	7.38807440740741	3.09892609821748	0.004478825147608	0.181206268633628	-2.0456827931945	Rem_indfail	215273_s_at	down
TBC1D10C	TBC1D10C	TBC1D10C	11	67403915	67410089	ENSG00000175463	228258_at	0.773386785714286	7.79214055555556	3.10549973455331	0.00440625560718751	0.180593722131167	-2.03124255516567	Rem_indfail	228258_at	down
TCF7	TCF7	TCF7	5	134114681	134151865	ENSG00000081059	205255_x_at	1.08568930952381	11.0150328518519	4.46982217386169	0.000124691203895559	0.0330147399837959	1.16005852626747	Rem_indfail	205255_x_at	down
TFRC	TFRC	TFRC	3	196027183	196082096	ENSG00000072274	207332_s_at	-1.377194	10.3454124444444	-4.2222982410208	0.000242173323987176	0.0446757196866011	0.562848529790465	Rem_indfail	207332_s_at	up
TGOLN2	TGOLN2	TGOLN2	2	85318020	85328296	ENSG00000152291	1554608_at	-0.605546928571429	5.51598088888889	-2.34549300728733	0.026540484615638	0.400296674752831	-3.59304945695291	Rem_indfail	1554608_at	up
THAP1	THAP1	THAP1	8	42836674	42843325	ENSG00000131931	219292_at	0.91231888095238	5.78445685185185	2.32697468053127	0.0276515407536339	0.405815364152529	-3.62788848021723	Rem_indfail	219292_at	down
TIPIN	TIPIN	TIPIN	15	66336191	66386746	ENSG00000075131	219258_at	1.85952404761905	6.12639748148148	4.81040746036188	4.98113306280601e-05	0.0228860042192368	1.98536445499663	Rem_indfail	219258_at	down
TMED1	TMED1	TMED1	19	10832067	10836318	ENSG00000099203	203679_at	-0.401927095238094	6.44437537037037	-2.82484959356611	0.00875185746956013	0.248575484232831	-2.63491095013626	Rem_indfail	203679_at	up
TMEM107	TMEM107	TMEM107	17	8172457	8176399	ENSG00000179029	239824_s_at	1.09201380952381	5.84199807407407	3.0310999582854	0.00529737736004062	0.195537065980497	-2.19387825359391	Rem_indfail	239824_s_at	down
TMEM209	TMEM209	TMEM209	7	130164713	130207770	ENSG00000146842	235158_at	1.08422307142857	6.09519844444444	2.66974108918894	0.0126504404067584	0.287822652348469	-2.9560036152858	Rem_indfail	235158_at	down
TMEM44-AS1	TMEM44-AS1	TMEM44-AS1	3	194584004	194590260	ENSG00000231770	229754_at	0.289701714285715	4.34023988888889	2.17387973360557	0.0385836289316066	0.46323230387255	-3.9089013365211	Rem_indfail	229754_at	down
TSPAN2	TSPAN2	TSPAN2	1	115048011	115089503	ENSG00000134198	227236_at	1.41259111904762	5.66805681481481	2.10418894735395	0.044739737296419	0.487601738886267	-4.03250057508979	Rem_indfail	227236_at	down
